mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,65,2.32,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,66,3.22,Measurement inaccurate; body partially broken
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,67,3.58,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,68,3.55,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,69,5.45,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,70,3.14,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,71,1.65,Measurement inaccurate; tail section missing
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,72,2.92,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,73,2.06,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,74,3.26,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,75,3.13,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,76,2.07,Measurement inaccurate; tail section missing
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,77,3.7,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,78,3.22,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,79,2.72,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,80,2.85,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,81,3.31,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,82,3.22,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,83,2.37,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,84,3.29,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,85,1.69,Measurement inaccurate;head and tail section missing
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,86,3.55,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,87,3.73,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,88,3.51,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,89,4.4,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,90,3.2,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,91,2.83,
,,,,
mezcalW18-20180223-NH-S1-MbD-Moc1-N3,117-1-3,1,6.34,
mezcalW18-20180223-NH-S1-MbD-Moc1-N3,117-1-3,2,3.98,
mezcalW18-20180223-NH-S1-MbD-Moc1-N3,117-1-3,3,3.3,
mezcalW18-20180223-NH-S1-MbD-Moc1-N3,117-1-3,4,2.55,
mezcalW18-20180223-NH-S1-MbD-Moc1-N3,117-1-3,5,2.06,
mezcalW18-20180223-NH-S1-MbD-Moc1-N3,117-1-3,6,3.97,
,,,,
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,1,8.04,
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,2,4.94,
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,3,8.44,
